ID,Name,Sex,Team,NOC,Year
2696,Peter Ali,M,Australia,AUS,1980
4433,"Christine Frances ""Chris"" Annison-Stanton",F,Australia,AUS,1980
6033,"Stephen John ""Steve"" Austin",M,Australia,AUS,1980
6033,"Stephen John ""Steve"" Austin",M,Australia,AUS,1980
8096,Gerard Barrett,M,Australia,AUS,1980
8116,Robert Gordon Barrie,M,Australia,AUS,1980
8735,Crosbie Baulch,M,Australia,AUS,1980
8914,Kerry Bayliss (-Lindsay),F,Australia,AUS,1980
8914,Kerry Bayliss (-Lindsay),F,Australia,AUS,1980
8914,Kerry Bayliss (-Lindsay),F,Australia,AUS,1980
8914,Kerry Bayliss (-Lindsay),F,Australia,AUS,1980
8914,Kerry Bayliss (-Lindsay),F,Australia,AUS,1980
10134,"Gregory Laurie ""Greg"" Benko",M,Australia,AUS,1980
10134,"Gregory Laurie ""Greg"" Benko",M,Australia,AUS,1980
13028,John Bolt,M,Australia,AUS,1980
14520,Kevin Bradshaw,M,Australia,AUS,1980
14520,Kevin Bradshaw,M,Australia,AUS,1980
14881,"Stephen ""Steve"" Breheny",M,Australia,AUS,1980
15006,Graeme Thomas Brewer,M,Australia,AUS,1980
15006,Graeme Thomas Brewer,M,Australia,AUS,1980
15006,Graeme Thomas Brewer,M,Australia,AUS,1980
15006,Graeme Thomas Brewer,M,Australia,AUS,1980
15387,Neil Brooks,M,Australia,AUS,1980
15387,Neil Brooks,M,Australia,AUS,1980
15499,"Christopher ""Cris"" Brown",M,Australia,AUS,1980
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,Australia,AUS,1980
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,Australia,AUS,1980
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,Australia,AUS,1980
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,Australia,AUS,1980
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,Australia,AUS,1980
15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,Australia,AUS,1980
15895,Robert Bryant,M,Australia,AUS,1980
17458,Martin Callaghan,M,Australia,AUS,1980
17712,Ian Bernard Campbell,M,Australia,AUS,1980
18221,"Marcus ""Mark"" Carew",M,Australia,AUS,1980
20838,Anne Chirnside (-Young),F,Australia,AUS,1980
23958,Perry Rothrock Crosswhite,M,Australia,AUS,1980
24413,Lisa Gaye Curry-Kenny,F,Australia,AUS,1980
24413,Lisa Gaye Curry-Kenny,F,Australia,AUS,1980
24413,Lisa Gaye Curry-Kenny,F,Australia,AUS,1980
24413,Lisa Gaye Curry-Kenny,F,Australia,AUS,1980
24413,Lisa Gaye Curry-Kenny,F,Australia,AUS,1980
24978,"Melvyn ""Mel"" Dalgleish",M,Australia,AUS,1980
25274,"William ""Bill"" Dankbaar",M,Australia,AUS,1980
